financial_year,total_expenditure,units,note
2026-27,5347315,total_expenditure in rupees crore,
2025-26,5065345,total_expenditure in rupees crore,
2024-25,4820512,total_expenditure in rupees crore,
2023-24,4503097,total_expenditure in rupees crore,
2022-23,3944909,total_expenditure in rupees crore,
2021-22,3483236,total_expenditure in rupees crore,
2020-21,3042230,total_expenditure in rupees crore,
2019-20,2786349,total_expenditure in rupees crore,
2018-19,2442213,total_expenditure in rupees crore,
2017-18,2146735,total_expenditure in rupees crore,
2016-17,1978060,total_expenditure in rupees crore,
2015-16,1777477,total_expenditure in rupees crore,
2014-15,1794892,total_expenditure in rupees crore,
2013-14,1665297,total_expenditure in rupees crore,
2012-13,1490925,total_expenditure in rupees crore,
2011-12,1257729,total_expenditure in rupees crore,
2010-11,1108749,total_expenditure in rupees crore,
2009-10,1020838,total_expenditure in rupees crore,
2008-09,750884,total_expenditure in rupees crore,
2007-08,680521,total_expenditure in rupees crore,
2006-07,563991,total_expenditure in rupees crore,
2005-06,514344,total_expenditure in rupees crore,
2004-05,477829,total_expenditure in rupees crore,
2003-04,438795,total_expenditure in rupees crore,
2002-03,410309,total_expenditure in rupees crore,
2001-02,375223,total_expenditure in rupees crore,
2000-01,338487,total_expenditure in rupees crore,
1999-00,283882,total_expenditure in rupees crore,
1998-99,267927,total_expenditure in rupees crore,
1997-98,232176,total_expenditure in rupees crore,
1996-97,204660,total_expenditure in rupees crore,
1995-96,172151,total_expenditure in rupees crore,
1994-95,151699,total_expenditure in rupees crore,
1993-94,131323,total_expenditure in rupees crore,
1992-93,119087,total_expenditure in rupees crore,
1991-92,113422,total_expenditure in rupees crore,
1990-91,99309,total_expenditure in rupees crore,
1989-90,82076,total_expenditure in rupees crore,
1988-89,73560,total_expenditure in rupees crore,
1987-88,62942,total_expenditure in rupees crore,
1986-87,52862,total_expenditure in rupees crore,
1985-86,46057,total_expenditure in rupees crore,
1984-85,26342,total_expenditure in rupees crore,
1983-84,22419,total_expenditure in rupees crore,
1982-83,18227,total_expenditure in rupees crore,
1981-82,15299,total_expenditure in rupees crore,
1980-81,13310,total_expenditure in rupees crore,
1979-80,11396,total_expenditure in rupees crore,
1978-79,10899,total_expenditure in rupees crore,
1977-78,9487,total_expenditure in rupees crore,
1976-77,7690,total_expenditure in rupees crore,
1975-76,6491,total_expenditure in rupees crore,
1974-75,5408,total_expenditure in rupees crore,
1973-74,4778,total_expenditure in rupees crore,
1972-73,4124,total_expenditure in rupees crore,
1971-72,3587,total_expenditure in rupees crore,
1970-71,3152,total_expenditure in rupees crore,
1969-70,3262,total_expenditure in rupees crore,
1968-69,2896,total_expenditure in rupees crore,
1967-68,2699,total_expenditure in rupees crore,
1966-67,2407,total_expenditure in rupees crore,
1965-66,2163,total_expenditure in rupees crore,
1964-65,2041,total_expenditure in rupees crore,
1963-64,1852,total_expenditure in rupees crore,
1962-63,1382,total_expenditure in rupees crore,
1961-62,1024,total_expenditure in rupees crore,
1960-61,980,total_expenditure in rupees crore,
1959-60,839,total_expenditure in rupees crore,
1958-59,796,total_expenditure in rupees crore,
1957-58,672,total_expenditure in rupees crore,
1956-57,545,total_expenditure in rupees crore,
1955-56,499,total_expenditure in rupees crore,
1954-55,467,total_expenditure in rupees crore,
1953-54,439,total_expenditure in rupees crore,
1952-53,401,total_expenditure in rupees crore,
1951-52,376,total_expenditure in rupees crore,
1950-51,338,total_expenditure in rupees crore,
1949-50,323,total_expenditure in rupees crore,
1948-49,257,total_expenditure in rupees crore,
1947-48,197,total_expenditure in rupees crore,
